"","locus","counts","chr","start","end","width","erv.call"
"CNV_chr13_16685401-16695000","CNV_chr13_16685401-16695000",31,"chr13",16685401,16695000,9599,"cPa268_cPa260_cPa327_cPa410_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa264_cPa450_cPa566"
"CNV_chr14_1528201-1545000","CNV_chr14_1528201-1545000",21,"chr14",1528201,1545000,16799,"cPa273_cPa223_cPa260"
"CNV_chr14_3491101-3498600","CNV_chr14_3491101-3498600",1,"chr14",3491101,3498600,7499,"cPa450_cPa199_cPa183_cPa74_cPa402_cPa539"
"CNV_chr17_8811901-8827500","CNV_chr17_8811901-8827500",20,"chr17",8811901,8827500,15599,"cPa410_cPa268_cPa446_cPa379_cPa264_cPa118_cPa140_cPa15_cPa125_cPa248_cPa443_cPa61_cPa516_cPa482"
"CNV_chr17_10035301-10048200","CNV_chr17_10035301-10048200",10,"chr17",10035301,10048200,12899,"cPa379_cPa264_cPa248_cPa140_cPa15_cPa125_cPa443_cPa118_cPa260_cPa327"
"CNV_chr17_10224601-10239300","CNV_chr17_10224601-10239300",22,"chr17",10224601,10239300,14699,"cPa264_cPa248_cPa140_cPa15_cPa125_cPa443_cPa118_cPa260_cPa327_cPa410_cPa425"
"CNV_chr17_10705801-10720200","CNV_chr17_10705801-10720200",19,"chr17",10705801,10720200,14399,"cPa443_cPa516_cPa264_cPa268_cPa248_cPa118_cPa140_cPa15_cPa125_cPa260_cPa152_cPa201_cPa109_cPa505_cPa106"
"CNV_chr17_11076901-11092500","CNV_chr17_11076901-11092500",60,"chr17",11076901,11092500,15599,"cPa443_cPa516_cPa264_cPa268_cPa248_cPa118_cPa140_cPa15_cPa125_cPa260_cPa410"
"CNV_chr17_11481001-11494200","CNV_chr17_11481001-11494200",12,"chr17",11481001,11494200,13199,"cPa371"
"CNV_chr23_319201-324600","CNV_chr23_319201-324600",3,"chr23",319201,324600,5399,"cPa363_cPa264_cPa125_cPa443_cPa15_cPa516_cPa268_cPa61_cPa248_cPa118_cPa140_cPa404_cPa119"
"CNV_chr23_585301-592800","CNV_chr23_585301-592800",3,"chr23",585301,592800,7499,"cPa363_cPa264_cPa125_cPa516_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa424_cPa223_cPa327_cPa61_cPa260_cPa452_cPa566"
"CNV_chr23_1382101-1392000","CNV_chr23_1382101-1392000",4,"chr23",1382101,1392000,9899,"cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa61_cPa566_cPa542_cPa482_cPa410_cPa260"
"CNV_chr23_1518001-1532400","CNV_chr23_1518001-1532400",1,"chr23",1518001,1532400,14399,"cPa516_cPa264_cPa268_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa61_cPa542_cPa260_cPa410"
"CNV_chr23_3156001-3165600","CNV_chr23_3156001-3165600",6,"chr23",3156001,3165600,9599,"cPa446_cPa419"
"CNV_chr23_5724601-5739600","CNV_chr23_5724601-5739600",32,"chr23",5724601,5739600,14999,"cPa424_cPa357"
"CNV_chr22_2025601-2040600","CNV_chr22_2025601-2040600",5,"chr22",2025601,2040600,14999,"cPa268_cPa486_cPa482"
"CNV_chr22_2357401-2372100","CNV_chr22_2357401-2372100",27,"chr22",2357401,2372100,14699,"cPa482_cPa486_cPa16_cPa183_cPa176_cPa371_cPa568"
"CNV_chr22_3431401-3452700","CNV_chr22_3431401-3452700",87,"chr22",3431401,3452700,21299,"cPa268_cPa446_cPa443_cPa125_cPa248_cPa118_cPa264_cPa140_cPa15"
"CNV_chr22_3597901-3613500","CNV_chr22_3597901-3613500",85,"chr22",3597901,3613500,15599,"cPa268_cPa446_cPa443_cPa125_cPa248_cPa118_cPa264_cPa140_cPa15_cPa260"
"CNV_chr22_4162801-4173600","CNV_chr22_4162801-4173600",49,"chr22",4162801,4173600,10799,"cPa268_cPa443_cPa118_cPa125_cPa264_cPa248_cPa140_cPa15_cPa273_cPa227_cPa516_cPa71_cPa410_cPa220_cPa190_cPa104_cPa219_cPa18_cPa258_cPa407"
"CNV_chr22_4185301-4201500","CNV_chr22_4185301-4201500",161,"chr22",4185301,4201500,16199,"cPa268_cPa443_cPa118_cPa125_cPa264_cPa248_cPa140_cPa15_cPa273_cPa516_cPa71_cPa410_cPa363_cPa176_cPa16_cPa452_cPa223"
"CNV_chr22_4411501-4421700","CNV_chr22_4411501-4421700",3,"chr22",4411501,4421700,10199,"cPa268_cPa443_cPa118_cPa125_cPa264_cPa248_cPa140_cPa15_cPa516_cPa183_cPa486_cPa410_cPa553_cPa450_cPa260"
"CNV_Scaffold152_1-11700","CNV_Scaffold152_1-11700",6,"Scaffold152",1,11700,11699,"cPa428_cPa356"
"CNV_Scaffold152_20701-25800","CNV_Scaffold152_20701-25800",3,"Scaffold152",20701,25800,5099,"cPa428_cPa356"
"CNV_Scaffold152_33001-35700","CNV_Scaffold152_33001-35700",1,"Scaffold152",33001,35700,2699,"cPa428_cPa356"
"CNV_Scaffold152_41101-49200","CNV_Scaffold152_41101-49200",18,"Scaffold152",41101,49200,8099,"cPa428_cPa356"
"CNV_Scaffold152_98701-107100","CNV_Scaffold152_98701-107100",56,"Scaffold152",98701,107100,8399,"cPa428"
"CNV_Scaffold190_1-13200","CNV_Scaffold190_1-13200",45,"Scaffold190",1,13200,13199,"cPa356_cPa428"
"CNV_Scaffold190_61201-67200","CNV_Scaffold190_61201-67200",23,"Scaffold190",61201,67200,5999,"cPa428_cPa356"
"CNV_Scaffold199_1-14400","CNV_Scaffold199_1-14400",88,"Scaffold199",1,14400,14399,"cPa419"
"CNV_Scaffold1667_28501-36900","CNV_Scaffold1667_28501-36900",126,"Scaffold1667",28501,36900,8399,"cPa308"
"CNV_Scaffold242_1-11100","CNV_Scaffold242_1-11100",279,"Scaffold242",1,11100,11099,"cPa356_cPa428"
"CNV_Scaffold242_17101-24000","CNV_Scaffold242_17101-24000",126,"Scaffold242",17101,24000,6899,"cPa428_cPa356"
"CNV_Scaffold254_1-6000","CNV_Scaffold254_1-6000",186,"Scaffold254",1,6000,5999,"cPa428_cPa356"
"CNV_Scaffold254_15301-29700","CNV_Scaffold254_15301-29700",55,"Scaffold254",15301,29700,14399,"cPa428_cPa356"
"CNV_Scaffold290_1-10200","CNV_Scaffold290_1-10200",192,"Scaffold290",1,10200,10199,"cPa428_cPa356"
"CNV_Scaffold290_30601-37200","CNV_Scaffold290_30601-37200",22,"Scaffold290",30601,37200,6599,"cPa356"
"CNV_Scaffold306_1-13800","CNV_Scaffold306_1-13800",57,"Scaffold306",1,13800,13799,"cPa356_cPa428"
"CNV_Scaffold312_1-7200","CNV_Scaffold312_1-7200",62,"Scaffold312",1,7200,7199,"cPa356"
"CNV_Scaffold312_30301-35400","CNV_Scaffold312_30301-35400",71,"Scaffold312",30301,35400,5099,"cPa356"
"CNV_Scaffold395_21001-25800","CNV_Scaffold395_21001-25800",35,"Scaffold395",21001,25800,4799,"cPa428_cPa356"
"CNV_Scaffold430_1-4800","CNV_Scaffold430_1-4800",9,"Scaffold430",1,4800,4799,"cPa356_cPa428"
"CNV_Scaffold430_20101-26700","CNV_Scaffold430_20101-26700",150,"Scaffold430",20101,26700,6599,"cPa428_cPa356"
"CNV_Scaffold465_1-13500","CNV_Scaffold465_1-13500",19,"Scaffold465",1,13500,13499,"cPa356_cPa428"
"CNV_Scaffold473_1-12300","CNV_Scaffold473_1-12300",96,"Scaffold473",1,12300,12299,"cPa428_cPa356"
"CNV_Scaffold473_14401-20700","CNV_Scaffold473_14401-20700",6,"Scaffold473",14401,20700,6299,"cPa428_cPa356"
"CNV_Scaffold496_1-9900","CNV_Scaffold496_1-9900",86,"Scaffold496",1,9900,9899,"cPa356_cPa428"
"CNV_Scaffold496_16201-22200","CNV_Scaffold496_16201-22200",3,"Scaffold496",16201,22200,5999,"cPa428_cPa356"
"CNV_Scaffold497_1-14100","CNV_Scaffold497_1-14100",93,"Scaffold497",1,14100,14099,"cPa356"
"CNV_Scaffold59_17701-21900","CNV_Scaffold59_17701-21900",18,"Scaffold59",17701,21900,4199,"cPa434"
"CNV_Scaffold521_11401-21000","CNV_Scaffold521_11401-21000",25,"Scaffold521",11401,21000,9599,"cPa419"
"CNV_Scaffold534_5401-20100","CNV_Scaffold534_5401-20100",127,"Scaffold534",5401,20100,14699,"cPa428_cPa356"
"CNV_Scaffold536_1-10200","CNV_Scaffold536_1-10200",216,"Scaffold536",1,10200,10199,"cPa356_cPa428"
"CNV_Scaffold547_1-14700","CNV_Scaffold547_1-14700",141,"Scaffold547",1,14700,14699,"cPa356"
"CNV_Scaffold110_1-12300","CNV_Scaffold110_1-12300",114,"Scaffold110",1,12300,12299,"cPa356_cPa428"
"CNV_Scaffold116_3601-18300","CNV_Scaffold116_3601-18300",258,"Scaffold116",3601,18300,14699,"cPa356_cPa428"
"CNV_Scaffold573_1-4800","CNV_Scaffold573_1-4800",35,"Scaffold573",1,4800,4799,"cPa434_cPa428"
"CNV_Scaffold585_1-7500","CNV_Scaffold585_1-7500",131,"Scaffold585",1,7500,7499,"cPa428_cPa356"
"CNV_Scaffold40_1-11100","CNV_Scaffold40_1-11100",6,"Scaffold40",1,11100,11099,"cPa308"
"CNV_Scaffold593_1-8400","CNV_Scaffold593_1-8400",224,"Scaffold593",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold593_14401-17100","CNV_Scaffold593_14401-17100",69,"Scaffold593",14401,17100,2699,"cPa356"
"CNV_Scaffold642_1-15000","CNV_Scaffold642_1-15000",154,"Scaffold642",1,15000,14999,"cPa356_cPa428"
"CNV_Scaffold850_1-15000","CNV_Scaffold850_1-15000",273,"Scaffold850",1,15000,14999,"cPa428_cPa356"
"CNV_Scaffold873_1-13800","CNV_Scaffold873_1-13800",265,"Scaffold873",1,13800,13799,"cPa356"
"CNV_Scaffold889_1-13200","CNV_Scaffold889_1-13200",292,"Scaffold889",1,13200,13199,"cPa356_cPa428"
"CNV_Scaffold911_1-12900","CNV_Scaffold911_1-12900",184,"Scaffold911",1,12900,12899,"cPa356_cPa428"
"CNV_Scaffold920_1-12600","CNV_Scaffold920_1-12600",253,"Scaffold920",1,12600,12599,"cPa356_cPa428"
"CNV_Scaffold935_3601-12000","CNV_Scaffold935_3601-12000",110,"Scaffold935",3601,12000,8399,"cPa264_cPa268_cPa61_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa119_cPa254"
"CNV_Scaffold947_1-11700","CNV_Scaffold947_1-11700",173,"Scaffold947",1,11700,11699,"cPa428_cPa356"
"CNV_Scaffold950_1-11700","CNV_Scaffold950_1-11700",210,"Scaffold950",1,11700,11699,"cPa356_cPa428"
"CNV_Scaffold957_1-7800","CNV_Scaffold957_1-7800",70,"Scaffold957",1,7800,7799,"cPa356_cPa428"
"CNV_Scaffold957_9301-11400","CNV_Scaffold957_9301-11400",4,"Scaffold957",9301,11400,2099,"cPa356"
"CNV_Scaffold959_1-11400","CNV_Scaffold959_1-11400",68,"Scaffold959",1,11400,11399,"cPa428_cPa356"
"CNV_Scaffold961_1-11400","CNV_Scaffold961_1-11400",246,"Scaffold961",1,11400,11399,"cPa356_cPa428"
"CNV_Scaffold967_1-11400","CNV_Scaffold967_1-11400",123,"Scaffold967",1,11400,11399,"cPa199_cPa353_cPa74"
"CNV_Scaffold978_1-11100","CNV_Scaffold978_1-11100",276,"Scaffold978",1,11100,11099,"cPa428_cPa356"
"CNV_Scaffold984_1-10800","CNV_Scaffold984_1-10800",257,"Scaffold984",1,10800,10799,"cPa356_cPa428"
"CNV_Scaffold993_1-10800","CNV_Scaffold993_1-10800",289,"Scaffold993",1,10800,10799,"cPa428_cPa356"
"CNV_Scaffold1001_1-10500","CNV_Scaffold1001_1-10500",188,"Scaffold1001",1,10500,10499,"cPa428_cPa356"
"CNV_Scaffold1002_1-10500","CNV_Scaffold1002_1-10500",282,"Scaffold1002",1,10500,10499,"cPa356_cPa428"
"CNV_Scaffold1003_1-10500","CNV_Scaffold1003_1-10500",84,"Scaffold1003",1,10500,10499,"cPa229_cPa313_cPa482_cPa199"
"CNV_Scaffold1004_1-10500","CNV_Scaffold1004_1-10500",291,"Scaffold1004",1,10500,10499,"cPa434"
"CNV_Scaffold1008_2101-10500","CNV_Scaffold1008_2101-10500",62,"Scaffold1008",2101,10500,8399,"cPa428_cPa356"
"CNV_Scaffold1011_1-10500","CNV_Scaffold1011_1-10500",273,"Scaffold1011",1,10500,10499,"cPa356_cPa428"
"CNV_Scaffold1020_1-10200","CNV_Scaffold1020_1-10200",129,"Scaffold1020",1,10200,10199,"cPa434"
"CNV_Scaffold1022_1-10200","CNV_Scaffold1022_1-10200",215,"Scaffold1022",1,10200,10199,"cPa419"
"CNV_Scaffold1023_1-10200","CNV_Scaffold1023_1-10200",229,"Scaffold1023",1,10200,10199,"cPa428_cPa356"
"CNV_Scaffold1035_1-9900","CNV_Scaffold1035_1-9900",118,"Scaffold1035",1,9900,9899,"cPa356_cPa428"
"CNV_Scaffold1043_1-9900","CNV_Scaffold1043_1-9900",292,"Scaffold1043",1,9900,9899,"cPa428_cPa356"
"CNV_Scaffold1044_1-9900","CNV_Scaffold1044_1-9900",232,"Scaffold1044",1,9900,9899,"cPa356_cPa428"
"CNV_Scaffold1049_1-9600","CNV_Scaffold1049_1-9600",288,"Scaffold1049",1,9600,9599,"cPa428_cPa356"
"CNV_Scaffold1052_1-9600","CNV_Scaffold1052_1-9600",292,"Scaffold1052",1,9600,9599,"cPa356_cPa428"
"CNV_Scaffold1056_1-9600","CNV_Scaffold1056_1-9600",258,"Scaffold1056",1,9600,9599,"cPa356_cPa428"
"CNV_Scaffold1063_1-9300","CNV_Scaffold1063_1-9300",212,"Scaffold1063",1,9300,9299,"cPa428_cPa356"
"CNV_Scaffold1069_1-9300","CNV_Scaffold1069_1-9300",168,"Scaffold1069",1,9300,9299,"cPa419"
"CNV_Scaffold1092_1-9000","CNV_Scaffold1092_1-9000",256,"Scaffold1092",1,9000,8999,"cPa428_cPa356"
"CNV_Scaffold1110_1-8400","CNV_Scaffold1110_1-8400",263,"Scaffold1110",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1118_1-8400","CNV_Scaffold1118_1-8400",130,"Scaffold1118",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1122_1-8400","CNV_Scaffold1122_1-8400",196,"Scaffold1122",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1126_1-8400","CNV_Scaffold1126_1-8400",290,"Scaffold1126",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1127_1-8400","CNV_Scaffold1127_1-8400",264,"Scaffold1127",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1129_1-8400","CNV_Scaffold1129_1-8400",288,"Scaffold1129",1,8400,8399,"cPa356_cPa428"
"CNV_Scaffold1132_1-8400","CNV_Scaffold1132_1-8400",283,"Scaffold1132",1,8400,8399,"cPa428_cPa356"
"CNV_Scaffold1138_1-8100","CNV_Scaffold1138_1-8100",227,"Scaffold1138",1,8100,8099,"cPa428_cPa356"
"CNV_Scaffold1139_1-8100","CNV_Scaffold1139_1-8100",287,"Scaffold1139",1,8100,8099,"cPa356_cPa428"
"CNV_Scaffold1145_1-8100","CNV_Scaffold1145_1-8100",228,"Scaffold1145",1,8100,8099,"cPa428_cPa356"
"CNV_Scaffold1144_1-8100","CNV_Scaffold1144_1-8100",267,"Scaffold1144",1,8100,8099,"cPa428_cPa356"
"CNV_Scaffold1153_1-8100","CNV_Scaffold1153_1-8100",281,"Scaffold1153",1,8100,8099,"cPa428_cPa356"
"CNV_Scaffold1155_1-8100","CNV_Scaffold1155_1-8100",240,"Scaffold1155",1,8100,8099,"cPa428_cPa356"
"CNV_Scaffold1158_1-7800","CNV_Scaffold1158_1-7800",291,"Scaffold1158",1,7800,7799,"cPa356_cPa428"
"CNV_Scaffold1167_1-7800","CNV_Scaffold1167_1-7800",291,"Scaffold1167",1,7800,7799,"cPa428"
"CNV_Scaffold1181_1-7500","CNV_Scaffold1181_1-7500",283,"Scaffold1181",1,7500,7499,"cPa356_cPa428"
"CNV_Scaffold1189_1-7500","CNV_Scaffold1189_1-7500",216,"Scaffold1189",1,7500,7499,"cPa356_cPa428"
"CNV_Scaffold1192_1-7500","CNV_Scaffold1192_1-7500",185,"Scaffold1192",1,7500,7499,"cPa428_cPa356"
"CNV_Scaffold1196_1-7200","CNV_Scaffold1196_1-7200",291,"Scaffold1196",1,7200,7199,"cPa356_cPa428"
"CNV_Scaffold1199_1-7200","CNV_Scaffold1199_1-7200",290,"Scaffold1199",1,7200,7199,"cPa356"
"CNV_Scaffold1203_1-7200","CNV_Scaffold1203_1-7200",287,"Scaffold1203",1,7200,7199,"cPa428_cPa356"
"CNV_Scaffold1206_1-7200","CNV_Scaffold1206_1-7200",224,"Scaffold1206",1,7200,7199,"cPa428_cPa356"
"CNV_Scaffold1216_1-6900","CNV_Scaffold1216_1-6900",290,"Scaffold1216",1,6900,6899,"cPa356"
"CNV_Scaffold710_1-6900","CNV_Scaffold710_1-6900",47,"Scaffold710",1,6900,6899,"cPa428_cPa356"
"CNV_Scaffold1229_1-6900","CNV_Scaffold1229_1-6900",259,"Scaffold1229",1,6900,6899,"cPa356_cPa428"
"CNV_Scaffold1231_1-6900","CNV_Scaffold1231_1-6900",241,"Scaffold1231",1,6900,6899,"cPa428_cPa356"
"CNV_Scaffold1234_1-6900","CNV_Scaffold1234_1-6900",292,"Scaffold1234",1,6900,6899,"cPa356"
"CNV_Scaffold1235_1-6900","CNV_Scaffold1235_1-6900",288,"Scaffold1235",1,6900,6899,"cPa428"
"CNV_Scaffold1239_1-6600","CNV_Scaffold1239_1-6600",212,"Scaffold1239",1,6600,6599,"cPa356_cPa428"
"CNV_Scaffold1244_1-6600","CNV_Scaffold1244_1-6600",236,"Scaffold1244",1,6600,6599,"cPa356_cPa428"
"CNV_Scaffold1254_1-6600","CNV_Scaffold1254_1-6600",253,"Scaffold1254",1,6600,6599,"cPa428_cPa356"
"CNV_Scaffold1256_1-6600","CNV_Scaffold1256_1-6600",290,"Scaffold1256",1,6600,6599,"cPa428"
"CNV_Scaffold1259_1-6600","CNV_Scaffold1259_1-6600",174,"Scaffold1259",1,6600,6599,"cPa428_cPa356"
"CNV_Scaffold1260_1-6600","CNV_Scaffold1260_1-6600",289,"Scaffold1260",1,6600,6599,"cPa356_cPa428"
"CNV_Scaffold1263_1-6600","CNV_Scaffold1263_1-6600",290,"Scaffold1263",1,6600,6599,"cPa356_cPa428"
"CNV_Scaffold1271_1-6300","CNV_Scaffold1271_1-6300",288,"Scaffold1271",1,6300,6299,"cPa428_cPa356"
"CNV_Scaffold1281_1-6300","CNV_Scaffold1281_1-6300",191,"Scaffold1281",1,6300,6299,"cPa356_cPa428"
"CNV_Scaffold1283_1-6300","CNV_Scaffold1283_1-6300",192,"Scaffold1283",1,6300,6299,"cPa428_cPa356"
"CNV_Scaffold1290_1-6300","CNV_Scaffold1290_1-6300",242,"Scaffold1290",1,6300,6299,"cPa356_cPa428"
"CNV_Scaffold1291_1-6300","CNV_Scaffold1291_1-6300",287,"Scaffold1291",1,6300,6299,"cPa428_cPa356"
"CNV_Scaffold1318_1-6000","CNV_Scaffold1318_1-6000",277,"Scaffold1318",1,6000,5999,"cPa356_cPa428"
"CNV_Scaffold1321_1-6000","CNV_Scaffold1321_1-6000",289,"Scaffold1321",1,6000,5999,"cPa428_cPa356"
"CNV_Scaffold1328_1-6000","CNV_Scaffold1328_1-6000",204,"Scaffold1328",1,6000,5999,"cPa419"
"CNV_Scaffold1336_1-5700","CNV_Scaffold1336_1-5700",216,"Scaffold1336",1,5700,5699,"cPa428_cPa356"
"CNV_Scaffold1339_1-5700","CNV_Scaffold1339_1-5700",268,"Scaffold1339",1,5700,5699,"cPa356_cPa428"
"CNV_Scaffold1341_1-5700","CNV_Scaffold1341_1-5700",292,"Scaffold1341",1,5700,5699,"cPa356_cPa428"
"CNV_Scaffold1343_1-5700","CNV_Scaffold1343_1-5700",292,"Scaffold1343",1,5700,5699,"cPa356_cPa428"
"CNV_Scaffold721_1-5700","CNV_Scaffold721_1-5700",98,"Scaffold721",1,5700,5699,"cPa428_cPa356"
"CNV_Scaffold1349_1-5700","CNV_Scaffold1349_1-5700",285,"Scaffold1349",1,5700,5699,"cPa428"
"CNV_Scaffold1359_1-5400","CNV_Scaffold1359_1-5400",292,"Scaffold1359",1,5400,5399,"cPa443_cPa205_cPa390_cPa444"
"CNV_Scaffold1364_1-5400","CNV_Scaffold1364_1-5400",259,"Scaffold1364",1,5400,5399,"cPa356_cPa428"
"CNV_Scaffold1372_1-5400","CNV_Scaffold1372_1-5400",290,"Scaffold1372",1,5400,5399,"cPa356_cPa428"
"CNV_Scaffold1376_1-5400","CNV_Scaffold1376_1-5400",292,"Scaffold1376",1,5400,5399,"cPa434_cPa516"
"CNV_Scaffold1377_1-5400","CNV_Scaffold1377_1-5400",238,"Scaffold1377",1,5400,5399,"cPa356_cPa428"
"CNV_Scaffold1386_1-5100","CNV_Scaffold1386_1-5100",289,"Scaffold1386",1,5100,5099,"cPa428_cPa356"
"CNV_Scaffold1390_1-5100","CNV_Scaffold1390_1-5100",212,"Scaffold1390",1,5100,5099,"cPa428_cPa356"
"CNV_Scaffold1393_1-5100","CNV_Scaffold1393_1-5100",158,"Scaffold1393",1,5100,5099,"cPa428"
"CNV_Scaffold1401_1-5100","CNV_Scaffold1401_1-5100",288,"Scaffold1401",1,5100,5099,"cPa356_cPa428"
"CNV_Scaffold1403_1-5100","CNV_Scaffold1403_1-5100",245,"Scaffold1403",1,5100,5099,"cPa428_cPa356"
"CNV_Scaffold1410_1-5100","CNV_Scaffold1410_1-5100",284,"Scaffold1410",1,5100,5099,"cPa428_cPa356"
"CNV_Scaffold1418_1-5100","CNV_Scaffold1418_1-5100",289,"Scaffold1418",1,5100,5099,"cPa356_cPa428"
"CNV_Scaffold1428_1-4800","CNV_Scaffold1428_1-4800",208,"Scaffold1428",1,4800,4799,"cPa356_cPa428"
"CNV_Scaffold1430_1-4800","CNV_Scaffold1430_1-4800",283,"Scaffold1430",1,4800,4799,"cPa356_cPa428"
"CNV_Scaffold1432_1-4800","CNV_Scaffold1432_1-4800",292,"Scaffold1432",1,4800,4799,"cPa133"
"CNV_Scaffold1433_1-4800","CNV_Scaffold1433_1-4800",257,"Scaffold1433",1,4800,4799,"cPa356_cPa428"
"CNV_Scaffold1439_1-4800","CNV_Scaffold1439_1-4800",224,"Scaffold1439",1,4800,4799,"cPa356_cPa428"
"CNV_Scaffold1442_1-4500","CNV_Scaffold1442_1-4500",291,"Scaffold1442",1,4500,4499,"cPa356"
"CNV_Scaffold1446_1-4500","CNV_Scaffold1446_1-4500",238,"Scaffold1446",1,4500,4499,"cPa428_cPa356"
"CNV_Scaffold1448_1-4500","CNV_Scaffold1448_1-4500",281,"Scaffold1448",1,4500,4499,"cPa356_cPa428"
"CNV_Scaffold1454_1-4500","CNV_Scaffold1454_1-4500",215,"Scaffold1454",1,4500,4499,"cPa356_cPa428"
"CNV_Scaffold1456_1-4200","CNV_Scaffold1456_1-4200",269,"Scaffold1456",1,4200,4199,"cPa428_cPa356"
"CNV_Scaffold1460_1-4200","CNV_Scaffold1460_1-4200",288,"Scaffold1460",1,4200,4199,"cPa356_cPa428"
"CNV_Scaffold1471_1-4200","CNV_Scaffold1471_1-4200",288,"Scaffold1471",1,4200,4199,"cPa356_cPa428"
"CNV_Scaffold1474_1-4200","CNV_Scaffold1474_1-4200",121,"Scaffold1474",1,4200,4199,"cPa428"
"CNV_Scaffold1478_1-4200","CNV_Scaffold1478_1-4200",209,"Scaffold1478",1,4200,4199,"cPa419"
"CNV_Scaffold1483_1-3900","CNV_Scaffold1483_1-3900",243,"Scaffold1483",1,3900,3899,"cPa356_cPa428"
"CNV_Scaffold1485_1-3900","CNV_Scaffold1485_1-3900",247,"Scaffold1485",1,3900,3899,"cPa356"
"CNV_Scaffold1491_1-3900","CNV_Scaffold1491_1-3900",261,"Scaffold1491",1,3900,3899,"cPa356_cPa428"
"CNV_Scaffold1493_1-3900","CNV_Scaffold1493_1-3900",288,"Scaffold1493",1,3900,3899,"cPa356"
"CNV_Scaffold1496_1-3900","CNV_Scaffold1496_1-3900",287,"Scaffold1496",1,3900,3899,"cPa428"
"CNV_Scaffold1498_1-3900","CNV_Scaffold1498_1-3900",220,"Scaffold1498",1,3900,3899,"cPa428_cPa356"
"CNV_Scaffold1499_1-3900","CNV_Scaffold1499_1-3900",248,"Scaffold1499",1,3900,3899,"cPa356_cPa428"
"CNV_Scaffold1501_1-3600","CNV_Scaffold1501_1-3600",247,"Scaffold1501",1,3600,3599,"cPa356_cPa428"
"CNV_Scaffold1507_1-3600","CNV_Scaffold1507_1-3600",237,"Scaffold1507",1,3600,3599,"cPa356"
"CNV_Scaffold1509_1-3600","CNV_Scaffold1509_1-3600",278,"Scaffold1509",1,3600,3599,"cPa428_cPa356"
"CNV_Scaffold1512_1-3600","CNV_Scaffold1512_1-3600",209,"Scaffold1512",1,3600,3599,"cPa356_cPa428"
"CNV_Scaffold1513_1-3600","CNV_Scaffold1513_1-3600",207,"Scaffold1513",1,3600,3599,"cPa356_cPa428"
"CNV_Scaffold1514_1-3600","CNV_Scaffold1514_1-3600",261,"Scaffold1514",1,3600,3599,"cPa428"
"CNV_Scaffold1517_1-3300","CNV_Scaffold1517_1-3300",254,"Scaffold1517",1,3300,3299,"cPa428_cPa356"
"CNV_Scaffold1522_1-3300","CNV_Scaffold1522_1-3300",254,"Scaffold1522",1,3300,3299,"cPa356"
"CNV_Scaffold1530_1-3300","CNV_Scaffold1530_1-3300",252,"Scaffold1530",1,3300,3299,"cPa356_cPa428"
"CNV_Scaffold1531_1-3300","CNV_Scaffold1531_1-3300",189,"Scaffold1531",1,3300,3299,"cPa428_cPa356"
"CNV_chr10_17453101-17455500","CNV_chr10_17453101-17455500",21,"chr10",17453101,17455500,2399,"cPa516_cPa248_cPa260_cPa268_cPa356_cPa428"
"CNV_chr10_17470201-17484600","CNV_chr10_17470201-17484600",9,"chr10",17470201,17484600,14399,"cPa516_cPa248_cPa260_cPa268_cPa356_cPa428_cPa332"
"CNV_chr10_17946901-17955000","CNV_chr10_17946901-17955000",40,"chr10",17946901,17955000,8099,"cPa516_cPa248_cPa268_cPa264_cPa61_cPa443_cPa118_cPa140_cPa15_cPa125_cPa119"
"CNV_chr20_9575401-9590400","CNV_chr20_9575401-9590400",29,"chr20",9575401,9590400,14999,"cPa260_S71_repbase_HERVS71_LTR6A_cPa587"
"CNV_chr20_12513001-12522900","CNV_chr20_12513001-12522900",3,"chr20",12513001,12522900,9899,"cPa363_cPa452_cPa140_cPa125_cPa268_cPa199_cPa424_cPa443_cPa118_cPa264_cPa248_cPa183_cPa223_cPa379_cPa15_cPa345_cPa410_cPa176"
"CNV_chr20_12923401-12932400","CNV_chr20_12923401-12932400",1,"chr20",12923401,12932400,8999,"cPa140_cPa125_cPa268_cPa183_cPa223_cPa15_cPa443_cPa118_cPa248_cPa176_cPa264_cPa452_cPa410_cPa260_cPa424_cPa71"
"CNV_chr20_13031101-13045500","CNV_chr20_13031101-13045500",1,"chr20",13031101,13045500,14399,"cPa140_cPa125_cPa268_cPa183_cPa15_cPa176_cPa248_cPa443_cPa118_cPa452_cPa264_cPa424_cPa71_cPa260_cPa410"
"CNV_chr20_13210201-13225200","CNV_chr20_13210201-13225200",1,"chr20",13210201,13225200,14999,"cPa140_cPa125_cPa268_cPa183_cPa15_cPa248_cPa443_cPa118_cPa452_cPa264_cPa424_cPa71_cPa260_cPa363_cPa176"
